title,location,price,area
                        House Larikslaan                            ,            3053 LK Rotterdam (Schiebroek)        ,"                €2,995 per month            ",134 m²
                        House Jeruzalemstraat                            ,            3061 GN Rotterdam (Kralingen West)        ,"                €4,500 per month            ",152 m²
                        Apartment Weena 17 B                            ,            3013 CB Rotterdam (Stadsdriehoek)        ,"                €2,500 per month            ",70 m²
                        Apartment Nico Koomanskade                            ,            3072 LM Rotterdam (Katendrecht)        ,"                €4,800 per month            ",300 m²
                        Apartment Gedempte Zalmhaven                            ,            3016 DT Rotterdam (Nieuwe Werk)        ,"                €3,500 per month            ",111 m²
                        Apartment Boompjes                            ,            3011 XZ Rotterdam (Stadsdriehoek)        ,"                €2,550 per month            ",80 m²
                        Studio Weena                            ,            3014 DA Rotterdam (Cs Kwartier)        ,"                €2,995 per month            ",65 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,350 per month            ",78 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,785 per month            ",120 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,250 per month            ",78 m²
                        Apartment Mathenesserlaan                            ,            3021 HC Rotterdam (Middelland)        ,"                €1,650 per month            ",65 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,250 per month            ",78 m²
                        Apartment De Monchyplein                            ,            3072 MM Rotterdam (Kop van Zuid)        ,"                €3,400 per month            ",100 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,250 per month            ",83 m²
                        Apartment Westzeedijk                            ,            3024 EL Rotterdam (Delfshaven)        ,"                €2,600 per month            ",216 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,695 per month            ",50 m²
                        Apartment Zuidplein                            ,            3083 CR Rotterdam (Zuidplein)        ,                €750 per month            ,40 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,395 per month            ",33 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,495 per month            ",40 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,495 per month            ",40 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,495 per month            ",40 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,695 per month            ",50 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,395 per month            ",33 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,695 per month            ",50 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,495 per month            ",40 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,495 per month            ",40 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,395 per month            ",33 m²
                        Apartment Statenweg                            ,            3039 HL Rotterdam (Blijdorp)        ,"                €1,250 per month            ",125 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,695 per month            ",45 m²
                        Apartment Mauritsstraat                            ,            3012 CH Rotterdam (Cool)        ,"                €1,395 per month            ",33 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Granadoslaan                            ,            3055 RC Rotterdam (Molenlaankwartier)        ,                €990 per month            ,40 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Witte de Withstraat                            ,            3012 BT Rotterdam (Cool)        ,"                €1,700 per month            ",50 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €2,065 per month            ",111 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,550 per month            ",83 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,995 per month            ",83 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,775 per month            ",83 m²
                        Apartment Kruiskade                            ,            3012 EG Rotterdam (Cool)        ,"                €1,995 per month            ",83 m²
                        House Burgemeester de Villeneuvesingel                            ,            3055 AP Rotterdam (Molenlaankwartier)        ,"                €3,500 per month            ",240 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Witte de Withstraat                            ,            3012 BT Rotterdam (Cool)        ,"                €1,700 per month            ",45 m²
                        Apartment Halvemaanpassage                            ,            3011 DL Rotterdam (Stadsdriehoek)        ,"                €2,395 per month            ",90 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Apartment Noorderhavenkade                            ,            3039 RR Rotterdam (Blijdorp)        ,"                €1,400 per month            ",49 m²
                        Apartment Berglustlaan                            ,            3054 BC Rotterdam (Hillegersberg Noord)        ,"                €1,850 per month            ",150 m²
                        Studio Witte de Withstraat                            ,            3012 BN Rotterdam (Cool)        ,"                €1,850 per month            ",40 m²
                        Studio Witte de Withstraat                            ,            3012 BN Rotterdam (Cool)        ,"                €1,800 per month            ",40 m²
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Studio Witte de Withstraat                            ,            3012 BN Rotterdam (Cool)        ,"                €1,800 per month            ",45 m²
                        Apartment Ochterveltstraat                            ,            3015 XL Rotterdam (Oude Westen)        ,"                €2,250 per month            ",70 m²
                        Studio Witte de Withstraat                            ,            3012 BT Rotterdam (Cool)        ,"                €1,700 per month            ",50 m²
                        Studio Oudedijk                            ,            3061 AB Rotterdam (Kralingen West)        ,"                €1,275 per month            ",25 m²
                        Studio Witte de Withstraat                            ,            3012 BN Rotterdam (Cool)        ,"                €1,750 per month            ",40 m²
                        Studio Witte de Withstraat                            ,            3012 BT Rotterdam (Cool)        ,"                €1,700 per month            ",45 m²
                        Studio Witte de Withstraat                            ,            3012 BT Rotterdam (Cool)        ,"                €1,700 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Oudedijk                            ,            3061 AB Rotterdam (Kralingen West)        ,"                €1,275 per month            ",20 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Eendrachtsweg                            ,            3012 LG Rotterdam (Cool)        ,"                €1,950 per month            ",50 m²
                        Studio Witte de Withstraat                            ,            3012 BN Rotterdam (Cool)        ,"                €1,400 per month            ",40 m²
                        Studio Witte de Withstraat                            ,            3012 BN Rotterdam (Cool)        ,"                €1,800 per month            ",40 m²
                        Apartment Sternstraat                            ,            3083 ZT Rotterdam (Carnisse)        ,                €750 per month            ,45 m²
                        Apartment Helmersstraat 39                            ,            3071 AD Rotterdam (Kop van Zuid - Entrepot)        ,"                €1,950 per month            ",125 m²
                        Apartment Mauritsweg 47 b                            ,            3012 JV Rotterdam (Cool)        ,                €700 per month            ,30 m²
                        Apartment Mauritsweg 47 G                            ,            3012 JV Rotterdam (Cool)        ,"                €1,150 per month            ",90 m²
                        Apartment Admiraal de Ruyterweg 40 E                            ,            3031 AD Rotterdam (Rubroek)        ,"                €1,400 per month            ",64 m²
                        Apartment Bredevoorde 112                            ,            3085 TD Rotterdam (Zuidwijk)        ,"                €1,250 per month            ",69 m²
                        Apartment Weena 57 B                            ,            3013 CE Rotterdam (Stadsdriehoek)        ,"                €1,625 per month            ",79 m²
                        Apartment Kruisplein                            ,            3012 CC Rotterdam (Cool)        ,"                €2,300 per month            ",80 m²
                        Apartment Noordeinde                            ,            3061 EM Rotterdam (Kralingen West)        ,"                €1,950 per month            ",102 m²
                        Apartment Vlietlaan                            ,            3061 DX Rotterdam (Kralingen West)        ,"                €1,100 per month            ",85 m²
                        Apartment Straatweg 44 C                            ,            3051 BG Rotterdam (Hillegersberg Zuid)        ,"                €1,400 per month            ",94 m²
                        Apartment Walenburgerplein                            ,            3039 AM Rotterdam (Provenierswijk)        ,"                €1,550 per month            ",73 m²
                        Apartment Berberisweg 446 C                            ,            3053 PL Rotterdam (Schiebroek)        ,"                €1,638 per month            ",89 m²
                        Apartment Berberisweg 438 D                            ,            3053 PL Rotterdam (Schiebroek)        ,"                €1,546 per month            ",89 m²
                        Apartment Berberisweg 436 F                            ,            3053 PL Rotterdam (Schiebroek)        ,"                €1,546 per month            ",89 m²
                        Apartment Berberisweg 442 H                            ,            3053 PL Rotterdam (Schiebroek)        ,"                €1,714 per month            ",107 m²
